nct_id,overall_count,female,male,<=18years,18-65years,>=65years,mean_age,age_number_analyzed
NCT00006389,12,3.0,9.0,0.0,11.0,1.0,,
NCT00006392,69776,0.0,69776.0,,,,62.44,55.0
NCT00006400,386,218.0,168.0,386.0,0.0,0.0,13.563333333333333,22.333333333333332
NCT00006409,17454,17454.0,0.0,17454.0,0.0,0.0,13.118571428571428,41.42857142857143
NCT00006411,2180,1394.0,786.0,,,,70.0,22.333333333333332
NCT00006436,68,11.0,57.0,2.0,66.0,0.0,42.36,21.0
NCT00006478,19,10.0,9.0,0.0,17.0,2.0,46.7,21.0
NCT00006489,330,114.0,216.0,,,,42.720000000000006,55.0
NCT00006604,284,150.0,134.0,,,,7.7375,37.0
NCT00006721,1092,494.0,598.0,,,,54.075,33.5
NCT00006903,106,106.0,0.0,,,,,
NCT00006916,19,7.0,12.0,,,,59.0,21.0
NCT00007020,85,31.0,50.0,,,,3.0,77.0
NCT00007345,262,98.0,164.0,0.0,176.0,86.0,58.35666666666666,22.333333333333332
NCT00007475,30,18.0,12.0,,,,39.625,33.5
NCT00007644,1462,0.0,1462.0,0.0,506.0,956.0,66.89999999999999,22.333333333333332
NCT00008138,58,58.0,0.0,,,,62.0,21.0
NCT00008385,3122,1604.0,1518.0,,,,66.0,22.333333333333332
NCT00009737,3974,,,,,,62.333333333333336,22.333333333333332
NCT00009945,6646,6646.0,0.0,,,,53.666666666666664,22.333333333333332
NCT00010257,92,34.0,58.0,,,,50.23333333333333,22.333333333333332
NCT00010374,53,12.0,41.0,,,,36.1,21.0
NCT00010439,10,5.0,5.0,10.0,0.0,0.0,10.0,21.0
NCT00010803,6138,2836.0,3302.0,0.0,0.0,6138.0,79.1,22.333333333333332
NCT00011986,8624,8624.0,0.0,,,,58.550000000000004,47.333333333333336
NCT00012012,82,82.0,0.0,,,,55.0,22.333333333333332
NCT00012298,162,66.0,96.0,,,,54.57142857142857,41.42857142857143
NCT00013611,3390,560.0,2830.0,0.0,3358.0,32.0,41.9,22.333333333333332
NCT00014222,4206,4206.0,0.0,,,,47.75,33.5
NCT00014495,64,20.0,44.0,0.0,28.0,36.0,,
NCT00014560,3,1.0,2.0,0.0,3.0,0.0,,
NCT00014911,36,14.0,22.0,,,,40.9,21.0
NCT00015457,16,13.0,3.0,0.0,15.0,1.0,,
NCT00015847,25,10.0,15.0,0.0,23.0,2.0,,
NCT00016354,19,8.0,11.0,0.0,11.0,8.0,,
NCT00016718,86,42.0,44.0,,,,8.325,33.5
NCT00016913,27,0.0,27.0,,,,61.0,21.0
NCT00017563,57,0.0,57.0,0.0,39.0,18.0,61.56,230.0
NCT00017953,10290,6116.0,4174.0,,,,58.699999999999996,22.333333333333332
NCT00018031,36,2.0,34.0,0.0,34.0,2.0,,
NCT00019604,44,21.0,23.0,0.0,27.0,17.0,59.18,21.0
NCT00019682,370,130.0,240.0,,,,48.6,22.333333333333332
NCT00019747,78,30.0,48.0,0.0,38.0,40.0,67.85000000000001,22.333333333333332
NCT00020722,7,7.0,0.0,0.0,7.0,0.0,,
NCT00021229,170,94.0,76.0,162.0,8.0,0.0,10.8375,345.5
NCT00021255,6444,6444.0,0.0,,,,48.7,33.5
NCT00021541,124,50.0,74.0,118.0,6.0,0.0,10.0,21.5
NCT00022490,24,10.0,14.0,0.0,21.0,3.0,,
NCT00022516,2172,2172.0,0.0,,,,52.0,22.333333333333332
NCT00022633,122,36.0,86.0,,,,68.16666666666667,22.333333333333332
NCT00022659,62,62.0,0.0,,,,55.6,21.0
NCT00022672,414,414.0,0.0,,,,56.46666666666667,22.333333333333332
NCT00022698,134,60.0,74.0,,,,62.1,22.333333333333332
NCT00022763,104,48.0,56.0,,,,11.366666666666667,22.333333333333332
NCT00023309,82,14.0,68.0,,,,45.333333333333336,22.333333333333332
NCT00023322,13,2.0,11.0,,,,42.0,21.0
NCT00023452,16106,,,,,,35.333333333333336,22.333333333333332
NCT00023595,4272,572.0,3700.0,,,,60.666666666666664,47.333333333333336
NCT00023673,122,32.0,90.0,,,,66.875,33.5
NCT00023712,110,110.0,0.0,,,,57.26666666666667,22.333333333333332
NCT00023764,103,38.0,65.0,0.0,47.0,56.0,,
NCT00024102,1266,1266.0,0.0,,,,,
NCT00024167,520,0.0,520.0,2.0,196.0,322.0,67.25,33.5
NCT00024258,22,6.0,16.0,19.0,3.0,0.0,,
NCT00025155,49,49.0,0.0,,,,,
NCT00025233,46,46.0,0.0,,,,46.4,21.0
NCT00025259,3468,1630.0,1838.0,3298.0,170.0,0.0,14.857142857142858,41.42857142857143
NCT00025506,45,45.0,0.0,,,,65.6,21.0
NCT00025662,22,9.0,13.0,0.0,13.0,9.0,63.0,21.0
NCT00025883,172,146.0,26.0,,,,25.666666666666668,22.333333333333332
NCT00026208,152,90.0,62.0,0.0,148.0,4.0,,
NCT00026221,114,46.0,68.0,,,,58.35,33.5
NCT00026312,2898,1166.0,1732.0,2882.0,16.0,0.0,3.49,22.333333333333332
NCT00026494,98,58.0,40.0,0.0,68.0,30.0,,
NCT00026559,2836,,,0.0,2836.0,0.0,,
NCT00026793,29,0.0,29.0,0.0,27.0,2.0,54.69,21.0
NCT00027027,42,24.0,18.0,,,,56.449999999999996,47.333333333333336
NCT00027378,100,56.0,44.0,6.0,94.0,0.0,19.433333333333334,22.333333333333332
NCT00027560,51,15.0,36.0,3.0,46.0,2.0,42.9,21.0
NCT00027846,756,318.0,438.0,740.0,16.0,0.0,6.785,33.5
NCT00028002,52,24.0,28.0,,,,58.5,21.0
NCT00028093,100,52.0,48.0,,,,50.666666666666664,22.333333333333332
NCT00028262,10,5.0,5.0,10.0,0.0,0.0,,
NCT00028769,35,0.0,35.0,,,,60.0,21.0
NCT00029107,48,12.0,36.0,0.0,48.0,0.0,51.333333333333336,230.33333333333334
NCT00029146,390,130.0,260.0,0.0,294.0,96.0,58.0,22.333333333333332
NCT00029172,182,99.0,83.0,,,,61.0,21.0
NCT00029536,588,588.0,0.0,,,,31.71,55.0
NCT00030147,126,126.0,0.0,0.0,126.0,0.0,,
NCT00030264,23,13.0,10.0,19.0,4.0,0.0,5.56,21.0
NCT00030823,14,14.0,0.0,0.0,14.0,0.0,,
NCT00030901,846,0.0,846.0,,,,65.61666666666667,22.333333333333332
NCT00030992,102,24.0,78.0,0.0,79.0,23.0,57.21,21.0
NCT00031447,58,22.0,36.0,,,,,
NCT00031460,92,42.0,50.0,,,,,
NCT00031486,174,80.0,94.0,,,,54.833333333333336,22.333333333333332
NCT00031551,54,26.0,28.0,,,,52.5,21.5
NCT00031590,28,9.0,19.0,28.0,0.0,0.0,,
NCT00031694,19,7.0,12.0,,,,56.0,21.0
NCT00032487,3582,104.0,3478.0,0.0,2436.0,1146.0,60.4,22.333333333333332
NCT00032591,5844,102.0,5742.0,,,,67.0,22.333333333333332
NCT00032630,4406,26.0,4380.0,0.0,2740.0,1666.0,62.74666666666667,22.333333333333332
NCT00033293,106,66.0,40.0,106.0,0.0,0.0,1.3,22.333333333333332
NCT00033371,224,104.0,120.0,,,,38.0,22.333333333333332
NCT00033514,54,54.0,0.0,0.0,46.0,8.0,,
NCT00033540,52,26.0,26.0,,,,58.8,21.0
NCT00033631,2998,0.0,2998.0,,,,71.0,230.5
NCT00033657,162,22.0,140.0,,,,58.06666666666666,22.333333333333332
NCT00033917,862,392.0,470.0,,,,7.833333333333333,22.333333333333332
NCT00035555,436,134.0,302.0,,,,44.8875,33.5
NCT00035815,660,240.0,420.0,0.0,528.0,132.0,54.36666666666667,22.333333333333332
NCT00035932,716,154.0,562.0,,,,39.75,33.5
NCT00036270,19532,19532.0,0.0,,,,64.33333333333333,22.333333333333332
NCT00036569,32,19.0,13.0,32.0,0.0,0.0,6.28,21.0
NCT00036738,28,9.0,19.0,0.0,26.0,2.0,57.6,21.0
NCT00037830,188,44.0,144.0,0.0,130.0,58.0,59.5,33.5
NCT00038103,222,222.0,0.0,,,,,
NCT00038142,92,38.0,54.0,,,,16.0,22.333333333333332
NCT00038467,9448,9448.0,0.0,,,,63.73333333333333,230.33333333333334
NCT00038610,54,26.0,28.0,,,,51.0,21.0
NCT00038649,114,43.0,71.0,,,,48.0,21.0
NCT00038675,125,49.0,76.0,,,,56.0,21.0
NCT00038727,5558,3778.0,1780.0,,,,52.5375,1389.25
NCT00038857,29,13.0,16.0,,,,36.0,21.0
NCT00038948,1660,502.0,1158.0,,,,44.333333333333336,22.333333333333332
NCT00039130,105,32.0,73.0,,,,43.0,21.0
NCT00039195,98,42.0,56.0,0.0,97.0,1.0,,
NCT00039377,57,32.0,25.0,,,,44.0,21.0
NCT00039741,526,254.0,272.0,,,,7.459999999999999,55.0
NCT00039871,2312,662.0,1650.0,0.0,2267.0,45.0,49.2,21.0
NCT00040365,30,0.0,30.0,0.0,18.0,12.0,65.63,21.0
NCT00040443,350,150.0,200.0,,,,71.13333333333333,22.333333333333332
NCT00040664,69,39.0,30.0,,,,10.2,21.0
NCT00040742,1152,1042.0,110.0,,,,52.75,55.0
NCT00040846,120,30.0,90.0,2.0,104.0,14.0,56.7,13.5
NCT00040937,142,56.0,86.0,,,,57.0,21.0
NCT00041067,74,74.0,0.0,,,,,
NCT00041080,276,276.0,0.0,,,,62.93333333333334,22.333333333333332
NCT00041119,7742,7742.0,0.0,0.0,6798.0,944.0,53.279999999999994,55.0
NCT00041132,49,11.0,38.0,,,,57.4,21.0
NCT00041392,778,240.0,538.0,0.0,304.0,474.0,68.5,22.333333333333332
NCT00041470,38,38.0,0.0,,,,46.5,21.0
NCT00041717,424,54.0,370.0,,,,40.86666666666667,22.333333333333332
NCT00041756,790,562.0,228.0,,,,62.6,47.333333333333336
NCT00041938,4610,,,0.0,2876.0,1734.0,61.0,22.333333333333332
NCT00042224,78,36.0,42.0,0.0,78.0,0.0,39.24,22.333333333333332
NCT00042289,2226,1678.0,0.0,,,,29.422727272727272,50.31818181818182
NCT00042432,108,32.0,76.0,,,,61.23333333333333,22.333333333333332
NCT00042666,55,28.0,27.0,,,,67.4,21.0
NCT00042939,174,52.0,122.0,,,,60.4,22.333333333333332
NCT00042991,138,80.0,58.0,136.0,2.0,0.0,10.4925,37.0
NCT00043108,19,9.0,10.0,0.0,10.0,9.0,,
NCT00043186,824,824.0,0.0,,,,62.52,37.1
NCT00043550,312,184.0,128.0,0.0,312.0,0.0,37.5,33.5
